0.98619837,0.03638595,3
0.89131969,0.41005704,4
0.67123878,0.51024371,-2
0.95462388,0.36306331,1
0.46836385,0.79108042,-5
0.24740332,0.10759209,-3
0.56819081,0.58316398,-3
0.59420204,0.75407046,1
0.67236161,0.38194442,4
0.80121678,0.05021992,4
0.09747921,0.33302456,4
0.63290793,0.28349552,-4
0.70790917,0.82934868,4
0.47440001,0.24115895,0
0.28567800,0.39036274,3
0.47896895,0.03121664,4
0.82590693,0.01760723,4
0.29809695,0.11552987,0
0.48472166,0.71694589,-1
0.59066343,0.28066868,3
0.49044275,0.87119424,-1
0.95359504,0.07192133,0
0.38340417,0.87401617,-1
0.08284447,0.36702630,4
0.12973414,0.44167447,2
0.14907196,0.45242918,-4
0.52974582,0.43800053,-1
0.85970026,0.98271847,-2
0.96472669,0.16160719,-5
0.34589997,0.54095173,-1
0.62830329,0.89350748,3
0.24170740,0.37624159,-2
0.33884403,0.95178980,2
0.16087386,0.80708569,4
0.32440159,0.21747158,-3
0.71855152,0.69503874,-4
0.83070135,0.59756857,-5
0.20438816,0.15185802,-4
0.85191065,0.06257176,2
0.17541176,0.14548092,4
0.12235040,0.34325731,0
0.64916319,0.48539186,-1
0.57761216,0.92731559,2
0.72396517,0.68226337,-4
0.27068251,0.36117446,-3
0.70982146,0.96974277,3
0.73895192,0.56492633,0
0.59698784,0.57487845,-4
0.44289005,0.65311891,1
0.65275097,0.78517997,1
0.12550160,0.30549550,3
0.47207126,0.10158802,-5
0.89224982,0.04306528,-5
0.43461159,0.51710802,1
0.33117130,0.99601477,-3
0.77379793,0.22217143,-3
0.54286522,0.93617928,-2
0.06149793,0.59564692,4
0.55949694,0.46472469,3
0.13913564,0.45265752,-3
0.16026920,0.64450610,-1
0.03550472,0.72791833,5
0.12030854,0.02566117,-2
0.05124048,0.19872494,0
0.44817606,0.49510437,2
0.65149719,0.71302509,-3
0.04212566,0.00589742,2
0.49708706,0.54239362,4
0.20857662,0.54723203,5
0.70713902,0.88517570,-4
0.23112586,0.53226835,5
0.74614465,0.45280251,-3
0.92602050,0.62614799,2
0.73864901,0.47429577,-5
0.13758738,0.43116936,3
0.31597969,0.67068070,3
0.02276015,0.52978683,4
0.82395548,0.21997811,3
0.56540310,0.72963393,2
0.63782156,0.86669433,2
0.35246941,0.95344394,-3
0.63492155,0.12675105,-3
0.57846427,0.24881998,2
0.92547113,0.39327058,5
0.56158102,0.49256381,3
0.92004752,0.23879650,3
0.83586454,0.37563872,3
0.25680238,0.07746322,-5
0.38463059,0.48609790,2
0.90735519,0.91861928,-2
0.58895004,0.48310471,3
0.39352807,0.02637454,-5
0.36578640,0.77206165,-4
0.21752964,0.02059970,-3
0.45450360,0.84194648,5
0.04973625,0.91708690,0
0.24180962,0.09420009,3
0.50751376,0.78359818,-5
0.67290556,0.52374631,4
0.99915040,0.72036666,0
0.28696775,0.06719854,-5
0.14074834,0.55730742,-1
0.02554519,0.33793959,3
0.78067791,0.85388929,3
0.35993296,0.39344954,-4
0.24355571,0.44075257,5
0.29535910,0.10057181,-3
0.37179837,0.81525505,-4
0.09070873,0.54166180,1
0.89614373,0.48744678,-5
0.34059808,0.43165663,2
0.92977750,0.77040648,-1
0.77407432,0.86697286,-3
0.94508690,0.07512333,1
0.17835911,0.68152249,-3
0.06972924,0.93930054,2
0.88704687,0.59723365,-5
0.62489706,0.64494681,4
0.76275551,0.63174397,5
0.11391573,0.58176559,-3
0.43256804,0.17107086,0
0.86350775,0.97476846,0
0.94667876,0.82982492,1
0.90725845,0.29295716,5
0.27384496,0.51230210,5
0.06718075,0.10687293,-3
0.63355166,0.10248838,-2
0.12638918,0.22276662,2
0.61751866,0.63658768,-4
0.01328921,0.35177472,1
0.72513914,0.41347942,-2
0.96057487,0.38176930,2
0.09365696,0.09257346,5
0.49363473,0.51874065,5
0.60093582,0.92826927,-5
0.64023352,0.40454006,2
0.70397162,0.65061116,3
0.36542666,0.72608179,-2
0.52765948,0.37258700,-2
0.41763654,0.21729617,1
0.06607778,0.56927210,-5
0.82255793,0.73081344,-5
0.64597899,0.96844405,-2
0.71628284,0.56571907,4
0.23907807,0.18525021,5
0.06867959,0.29794419,1
0.97512966,0.00406606,2
0.47466841,0.75189471,-5
0.16873044,0.85254693,0
0.82496834,0.24281648,-2
0.98870724,0.20287561,-2
0.44355470,0.82372707,3
0.15154120,0.95307481,2
0.44798443,0.27439690,3
0.94930750,0.01073595,-3
0.95776790,0.20543283,2
0.44015718,0.72185606,1
0.98314321,0.68799984,3
0.17508547,0.66161442,1
0.27353624,0.32366973,5
0.91793573,0.74621189,0
0.69971007,0.02736589,-1
0.34680447,0.74293053,-1
0.18416154,0.20300625,3
0.66002703,0.07399970,4
0.07402311,0.10632975,1
0.11906052,0.05020110,-1
0.47162026,0.52150679,0
0.71393895,0.17214333,-5
0.67491806,0.34792116,0
0.70392996,0.95081633,-2
0.91554260,0.52453589,5
0.29201394,0.87822819,1
0.12950866,0.65200561,-4
0.45116931,0.80284947,4
0.55046040,0.58802640,5
0.31265891,0.85803181,-4
